b'Application',b'Bytes Received',b'Bytes Sent',b'Bytes'
b'incomplete',b'2114362',b'3682136',b'5796498'
b'dns-base',b'1896788',b'797906',b'2694694'
b'ssl',b'16718677',b'4731592',b'21450269'
b'wechat-base',b'1830115',b'3083101',b'4913216'
b'quic',b'1993486',b'1697362',b'3690848'
b'unknown-udp',b'1020702',b'798710',b'1819412'
b'wechat-file-transfer',b'7034809',b'1123427',b'8158236'
b'web-browsing',b'2115621',b'277537',b'2393158'
b'unknown-tcp',b'815027',b'177342',b'992369'
b'qq-base',b'659733',b'101599',b'761332'
